,0,1
0,don know,911
1,waste money,862
2,looks like,810
3,make sure,763
4,red dot,724
5,good quality,703
6,does fit,678
7,does work,672
8,don think,646
9,pretty good,638
10,customer service,637
11,does job,607
12,save money,596
13,just fine,594
14,doesn work,567
15,don like,545
16,poor quality,543
17,works great,517
18,water bottle,482
19,didn work,481
20,doesn fit,465
21,good price,462
22,works fine,458
23,quality control,446
24,good product,442
25,feel like,440
26,high quality,432
27,ve used,431
28,year old,425
29,don buy,422
